2026-06-13T05:34:00.272Z KuCoin fetch err for POPCAT: read ECONNRESET | cause: undefined
2026-06-13T05:34:01.593Z KuCoin fetch err for DYDX: read ECONNRESET | cause: undefined
2026-06-13T05:34:02.682Z KuCoin fetch err for TON: read ECONNRESET | cause: undefined
2026-06-13T05:34:03.147Z KuCoin fetch err for JUP: read ECONNRESET | cause: undefined
2026-06-13T05:34:10.723Z Bitget fetch err for AI16Z: Request timed out after 9600ms | cause: undefined
2026-06-13T05:35:00.722Z KuCoin fetch err for ADA: read ECONNRESET | cause: undefined
2026-06-13T05:35:03.486Z KuCoin fetch err for ARB: read ECONNRESET | cause: undefined
2026-06-13T05:35:03.684Z KuCoin fetch err for MEW: read ECONNRESET | cause: undefined
2026-06-13T05:35:04.013Z KuCoin fetch err for PEPE: read ECONNRESET | cause: undefined
2026-06-13T05:35:59.999Z KuCoin fetch err for ONDO: read ECONNRESET | cause: undefined
2026-06-13T05:36:00.178Z KuCoin fetch err for DYDX: read ECONNRESET | cause: undefined
2026-06-13T05:36:00.364Z KuCoin fetch err for JTO: read ECONNRESET | cause: undefined
2026-06-13T05:36:00.844Z KuCoin fetch err for MATIC: read ECONNRESET | cause: undefined
2026-06-13T05:36:01.038Z KuCoin fetch err for GRT: read ECONNRESET | cause: undefined
2026-06-13T05:36:02.036Z KuCoin fetch err for FARTCOIN: read ECONNRESET | cause: undefined
2026-06-13T05:36:02.365Z KuCoin fetch err for ORDI: read ECONNRESET | cause: undefined
2026-06-13T05:37:00.332Z KuCoin fetch err for DYDX: read ECONNRESET | cause: undefined
2026-06-13T05:37:00.489Z KuCoin fetch err for INJ: read ECONNRESET | cause: undefined
2026-06-13T05:37:00.550Z KuCoin fetch err for SAND: read ECONNRESET | cause: undefined
2026-06-13T05:37:01.655Z KuCoin fetch err for APT: read ECONNRESET | cause: undefined
2026-06-13T05:37:01.845Z KuCoin fetch err for TRX: read ECONNRESET | cause: undefined
2026-06-13T05:37:02.435Z KuCoin fetch err for NEAR: read ECONNRESET | cause: undefined
